n,beta,gamma,Re_zeta_prime,Im_zeta_prime,abs_zeta_prime
1,0.5,14.134725141734695,0.783296511867031,0.12469982974817109,0.7931604333565061
2,0.5,21.022039638771556,1.1092955634626716,-0.24872978851649746,1.1368391068279748
3,0.5,25.01085758014569,1.2957956050088353,0.45003670943786717,1.37172128721613
4,0.5,30.424876125859512,1.1201308452444934,-0.6675094693494923,1.3039409504035773
5,0.5,32.93506158773919,1.1605700674935626,0.7505541503422638,1.3821195368556258
6,0.5,37.586178158825675,1.8534662499829555,-0.5610044204957607,1.9365079652925943
7,0.5,40.9187190121475,1.4595173346719907,-0.30286893544609256,1.4906107614888204
8,0.5,43.327073280915,1.4640875741457995,1.1037257926214104,1.833511126245459
9,0.5,48.00515088116716,1.0339297984719464,-1.178860415987819,1.5680314756251592
10,0.5,49.7738324776723,1.2608936467842435,0.6507810252362314,1.418932250429311
11,0.5,52.970321477714464,2.344970632667445,0.6240181923932675,2.4265790678464443
12,0.5,56.44624769706339,2.2168085378914295,-0.8323915759472413,2.367934929295201
13,0.5,59.34704400260235,1.2601515126148704,-0.5908815787462921,1.391805616760924
14,0.5,60.83177852460981,0.8559365039821579,1.4154783527660133,1.6541481995269909
15,0.5,65.1125440480816,1.6515820757305586,-1.5831012172721204,2.2877790140227554
16,0.5,67.07981052949417,1.7800760754908274,0.11173723420259732,1.783579559212897
17,0.5,69.54640171117398,2.1120179422005902,0.5650982899875102,2.1863110175645235
18,0.5,72.0671576744819,2.784420397832221,1.017577910789383,2.964533986378066
19,0.5,75.70469069908393,0.9757569742268686,-1.4881928193913025,1.7795559953090005
20,0.5,77.1448400688748,1.3681211817005665,0.502667718581877,1.4575425905002102
21,0.5,79.33737502024937,1.9673676408202183,1.7572444965098601,2.6378862095740034
22,0.5,82.91038085408603,2.0103919192946273,-1.6907953829316194,2.6268735592159773
23,0.5,84.73549298051705,2.15519310618321,0.16861318780693096,2.16177883513602
24,0.5,87.42527461312523,1.7198208831227326,-0.5327409464346403,1.8004434970398635
25,0.5,88.80911120763446,1.150191361839592,1.847712467798885,2.176460781293764
26,0.5,92.49189927055849,2.179850147576858,-2.068521085113802,3.0050833841095375
27,0.5,94.65134404051989,1.273628443220134,-0.7526628777373774,1.4794021829452775
28,0.5,95.87063422824531,0.9845839251644566,1.3779474237420037,1.6935597445291009
29,0.5,98.83119421819369,3.513562437071261,0.12448741421238864,3.5157670735552755
30,0.5,101.31785100573138,3.0449104975449957,-0.8248149166109816,3.154647299576245
31,0.5,103.72553804047834,1.9181860435388025,-1.0090828691886666,2.167414573753041
32,0.5,105.44662305232609,1.8211482627540634,0.4405862778805282,1.8736854760574841
33,0.5,107.1686111842764,1.7501537068394584,2.4150054403200576,2.9824971541209173
34,0.5,111.02953554316967,0.23129777527349576,-1.5739414123903086,1.5908457594888537
35,0.5,111.87465917699264,1.193515578837384,0.6544096580195666,1.3611507768931483
36,0.5,114.32022091545271,2.531203644208371,0.2766619735546103,2.5462784089853314
37,0.5,116.22668032085755,2.7706794068015377,1.4323176905795802,3.119005986211207
38,0.5,118.79078286597621,3.851762238253166,-0.5267766038047981,3.887616998927384
39,0.5,121.37012500242065,1.6002242219041123,-1.6450014716161425,2.2949395203333562
40,0.5,122.94682929355258,1.5591385084859497,0.004702042242178827,1.5591455986677571
41,0.5,124.25681855434577,0.8537247685917665,2.152838883267503,2.3159363630755347
42,0.5,127.5166838795965,3.3558903099109436,-2.0613429666591965,3.9384177785437524
43,0.5,129.57870419995606,2.032664682228034,-1.167195023431942,2.34394324442839
44,0.5,131.08768853093267,2.192547094790934,0.757296943765677,2.319646831720941
45,0.5,133.4977372029976,2.2446744358654205,-0.44964145533860145,2.2892664242911436
46,0.5,134.75650975337388,1.480830855127906,2.397004099199325,2.8175323730309136
47,0.5,138.11604205453344,1.6772315364290145,-2.6779000882994275,3.1597870987941756
48,0.5,139.7362089521214,1.6745083428654894,-0.6643933862903807,1.8014984768443536
49,0.5,141.12370740402113,1.6558837669513382,1.1536761192893887,2.018147575840671
50,0.5,143.11184580762063,2.9854907043185244,2.2688166519830233,3.7497578249652035
